,Model,Sharpe,Return,Std
220,mw_0.2_lambda_0_pred_na_opt_cvar_alpha_0.01_cvarmethod_Normal,1.8031324075407194,0.040182093543939625,0.022284605043921164
81,mw_0.8_lambda_10_pred_Price MA_opt_RMVO_alpha_0_cvarmethod_na,1.7914387247510213,1.0083873548786928,0.5628924623245716
132,mw_0.6000000000000001_lambda_0.5_pred_Decision Tree_opt_RMVO_alpha_0_cvarmethod_na,1.781645430494879,0.12319881566605527,0.0691488966083644
79,mw_0.8_lambda_1_pred_Price MA_opt_RMVO_alpha_0_cvarmethod_na,1.7739949796139232,1.3494347021258453,0.7606756037266377
134,mw_0.6000000000000001_lambda_5_pred_Decision Tree_opt_RMVO_alpha_0_cvarmethod_na,1.7719094846808117,0.12067588839021419,0.0681049960133559
175,mw_1.0_lambda_1_pred_Decision Tree_opt_MVO_alpha_0_cvarmethod_na,1.7459024594434631,0.05413691764740754,0.031007985213941804
169,mw_0.8_lambda_1_pred_Decision Tree_opt_MVO_alpha_0_cvarmethod_na,1.745485177128337,0.08096370214441148,0.04638464033112703
78,mw_0.8_lambda_0.5_pred_Price MA_opt_RMVO_alpha_0_cvarmethod_na,1.7411073382009556,1.304120377720592,0.7490177940827636
145,mw_1.0_lambda_1_pred_Decision Tree_opt_RMVO_alpha_0_cvarmethod_na,1.7406013496627881,0.09604243608638117,0.05517773274448383
126,mw_0.4_lambda_0.5_pred_Decision Tree_opt_RMVO_alpha_0_cvarmethod_na,1.736637916381982,0.08466691835927159,0.04875335126602677
136,mw_0.6000000000000001_lambda_50_pred_Decision Tree_opt_RMVO_alpha_0_cvarmethod_na,1.735092586715586,0.10824263384607809,0.062384356128783965
89,mw_1.0_lambda_100_pred_Price MA_opt_RMVO_alpha_0_cvarmethod_na,1.730110147237547,0.05197474026260434,0.03004128976735498
127,mw_0.4_lambda_1_pred_Decision Tree_opt_RMVO_alpha_0_cvarmethod_na,1.7246133352777007,0.06955451985939418,0.040330501009488234
86,mw_1.0_lambda_5_pred_Price MA_opt_RMVO_alpha_0_cvarmethod_na,1.7111339081778927,2.3108142215591543,1.3504578516709036
